race,age_group,state,population
Hispanic or Latino,55-64 years,Arkansas,370711
Hispanic or Latino,55-64 years,California,3456501
Hispanic or Latino,55-64 years,Colorado,615862
Hispanic or Latino,55-64 years,Connecticut,464994
Hispanic or Latino,55-64 years,Delaware,129806
Hispanic or Latino,55-64 years,District of Columbia,64536
Hispanic or Latino,55-64 years,Florida,2275060
Hispanic or Latino,55-64 years,Georgia,1223499
Hispanic or Latino,55-64 years,Hawaii,170639
Hispanic or Latino,55-64 years,Idaho,200405
Hispanic or Latino,55-64 years,Illinois,1494725
Hispanic or Latino,55-64 years,Indiana,843785
Hispanic or Latino,55-64 years,Iowa,406602
Hispanic or Latino,55-64 years,Kansas,351462
Hispanic or Latino,55-64 years,Kentucky,587635
Hispanic or Latino,55-64 years,Louisiana,587235
Hispanic or Latino,55-64 years,Maine,210180
Hispanic or Latino,55-64 years,Maryland,768740
Hispanic or Latino,55-64 years,Massachusetts,876317
Hispanic or Latino,55-64 years,Michigan,1366967
Hispanic or Latino,55-64 years,Minnesota,737283
Hispanic or Latino,55-64 years,Mississippi,379700
Hispanic or Latino,55-64 years,Missouri,812368
Hispanic or Latino,55-64 years,Montana,148446
Hispanic or Latino,55-64 years,Nebraska,230380
Hispanic or Latino,55-64 years,Nevada,309864
Hispanic or Latino,55-64 years,New Hampshire,208955
Hispanic or Latino,55-64 years,New Jersey,1049148
Hispanic or Latino,55-64 years,New Mexico,165589
Hispanic or Latino,55-64 years,New York,2234096
Hispanic or Latino,55-64 years,North Carolina,1286946
Hispanic or Latino,55-64 years,North Dakota,93565
Hispanic or Latino,55-64 years,Ohio,1580875
Hispanic or Latino,55-64 years,Oklahoma,468115
Hispanic or Latino,55-64 years,Oregon,509903
Hispanic or Latino,55-64 years,Pennsylvania,1741726
Hispanic or Latino,55-64 years,Rhode Island,136676
Hispanic or Latino,55-64 years,South Carolina,659798
Hispanic or Latino,55-64 years,South Dakota,115398
Hispanic or Latino,55-64 years,Tennessee,865910
Hispanic or Latino,55-64 years,Texas,2310960
Hispanic or Latino,55-64 years,United States,4890433
Hispanic or Latino,55-64 years,Utah,272833
Hispanic or Latino,55-64 years,Vermont,95550
Hispanic or Latino,55-64 years,Virginia,1048513
Hispanic or Latino,55-64 years,Washington,903152
Hispanic or Latino,55-64 years,West Virginia,256262
Hispanic or Latino,55-64 years,Wisconsin,796170
Hispanic or Latino,55-64 years,Wyoming,75165
Hispanic or Latino,65-74 years,Alabama,481965
Hispanic or Latino,65-74 years,Alaska,56956
Hispanic or Latino,65-74 years,Arizona,625557
Hispanic or Latino,65-74 years,Arkansas,290000
Hispanic or Latino,65-74 years,California,2585627
Hispanic or Latino,65-74 years,Colorado,448029
Hispanic or Latino,65-74 years,Connecticut,319653
Hispanic or Latino,65-74 years,Delaware,105156
Hispanic or Latino,65-74 years,District of Columbia,46133
Hispanic or Latino,65-74 years,Florida,2026720
Hispanic or Latino,65-74 years,Georgia,868427
Hispanic or Latino,65-74 years,Hawaii,143441
Hispanic or Latino,65-74 years,Idaho,161064
Hispanic or Latino,65-74 years,Illinois,1054561
Hispanic or Latino,65-74 years,Indiana,601110
Hispanic or Latino,65-74 years,Iowa,295868
Hispanic or Latino,65-74 years,Kansas,252037
Hispanic or Latino,65-74 years,Kentucky,430899
Hispanic or Latino,65-74 years,Louisiana,416853
Hispanic or Latino,65-74 years,Maine,162495
Hispanic or Latino,65-74 years,Maryland,525592
Hispanic or Latino,65-74 years,Massachusetts,620533
Hispanic or Latino,65-74 years,Michigan,985141
Hispanic or Latino,65-74 years,Minnesota,502791
Hispanic or Latino,65-74 years,Mississippi,277502
Hispanic or Latino,65-74 years,Missouri,583999
Hispanic or Latino,65-74 years,Montana,117954
Hispanic or Latino,65-74 years,Nebraska,166773
Hispanic or Latino,65-74 years,Nevada,259053
Hispanic or Latino,65-74 years,New Hampshire,145259
Hispanic or Latino,65-74 years,New Jersey,720732
Hispanic or Latino,65-74 years,New Mexico,146196
Hispanic or Latino,65-74 years,New York,1595648
Hispanic or Latino,65-74 years,North Carolina,986604
Hispanic or Latino,65-74 years,North Dakota,63764
Hispanic or Latino,65-74 years,Ohio,1134152
Hispanic or Latino,65-74 years,Oklahoma,347272
Hispanic or Latino,65-74 years,Oregon,431146
Hispanic or Latino,65-74 years,Pennsylvania,1276039
Hispanic or Latino,65-74 years,Rhode Island,96552
Hispanic or Latino,65-74 years,South Carolina,540517
Hispanic or Latino,65-74 years,South Dakota,84205
Hispanic or Latino,65-74 years,Tennessee,652016
Hispanic or Latino,65-74 years,Texas,1647131
Hispanic or Latino,65-74 years,United States,2682684
Hispanic or Latino,65-74 years,Utah,196558
Hispanic or Latino,65-74 years,Vermont,72333
Hispanic or Latino,65-74 years,Virginia,753300
Hispanic or Latino,65-74 years,Washington,681286
Hispanic or Latino,65-74 years,West Virginia,211491
Hispanic or Latino,65-74 years,Wisconsin,560177
Hispanic or Latino,65-74 years,Wyoming,55365
Hispanic or Latino,75-84 years,Alabama,246797
Hispanic or Latino,75-84 years,Alaska,21014
Hispanic or Latino,75-84 years,Arizona,346019
Hispanic or Latino,75-84 years,Arkansas,154547
Hispanic or Latino,75-84 years,California,1323981
Hispanic or Latino,75-84 years,Colorado,195850
Hispanic or Latino,75-84 years,Connecticut,169215
Hispanic or Latino,75-84 years,Delaware,51864
Hispanic or Latino,75-84 years,District of Columbia,22869
Hispanic or Latino,75-84 years,Florida,1177769
Hispanic or Latino,75-84 years,Georgia,407657
Hispanic or Latino,75-84 years,Hawaii,68930
Hispanic or Latino,75-84 years,Idaho,77803
Hispanic or Latino,75-84 years,Illinois,547605
Hispanic or Latino,75-84 years,Indiana,302900
Hispanic or Latino,75-84 years,Iowa,158019
Hispanic or Latino,75-84 years,Kansas,129389
Hispanic or Latino,75-84 years,Kentucky,212887
Hispanic or Latino,75-84 years,Louisiana,203785
Hispanic or Latino,75-84 years,Maine,78759
Hispanic or Latino,75-84 years,Maryland,258975
Hispanic or Latino,75-84 years,Massachusetts,311441
Hispanic or Latino,75-84 years,Michigan,489885
Hispanic or Latino,75-84 years,Minnesota,255138
Hispanic or Latino,75-84 years,Mississippi,140188
Hispanic or Latino,75-84 years,Missouri,305626
Hispanic or Latino,75-84 years,Montana,55968
Hispanic or Latino,75-84 years,Nebraska,85889
Hispanic or Latino,75-84 years,Nevada,125206
Hispanic or Latino,75-84 years,New Hampshire,67507
Hispanic or Latino,75-84 years,New Jersey,383964
Hispanic or Latino,75-84 years,New Mexico,71723
Hispanic or Latino,75-84 years,New York,840638
Hispanic or Latino,75-84 years,North Carolina,483904
Hispanic or Latino,75-84 years,North Dakota,33447
Hispanic or Latino,75-84 years,Ohio,581240
Hispanic or Latino,75-84 years,Oklahoma,183265
Hispanic or Latino,75-84 years,Oregon,200486
Hispanic or Latino,75-84 years,Pennsylvania,676120
Hispanic or Latino,75-84 years,Rhode Island,49164
Hispanic or Latino,75-84 years,South Carolina,257582
Hispanic or Latino,75-84 years,South Dakota,40534
Hispanic or Latino,75-84 years,Tennessee,324410
Hispanic or Latino,75-84 years,Texas,807892
Hispanic or Latino,75-84 years,United States,1236374
Hispanic or Latino,75-84 years,Utah,97496
Hispanic or Latino,75-84 years,Vermont,33705
Hispanic or Latino,75-84 years,Virginia,374527
Hispanic or Latino,75-84 years,Washington,311725
Hispanic or Latino,75-84 years,West Virginia,106512
Hispanic or Latino,75-84 years,Wisconsin,280796
Hispanic or Latino,75-84 years,Wyoming,25388
Hispanic or Latino,All Ages,Alabama,217181
Hispanic or Latino,All Ages,Alaska,53288
Hispanic or Latino,All Ages,Arizona,2266343
Hispanic or Latino,All Ages,Arkansas,233187
Hispanic or Latino,All Ages,California,15540142
Hispanic or Latino,All Ages,Colorado,1235117
Hispanic or Latino,All Ages,Connecticut,589809
Hispanic or Latino,All Ages,Delaware,91974
Hispanic or Latino,All Ages,District of Columbia,79249
Hispanic or Latino,All Ages,Florida,5562417
Hispanic or Latino,All Ages,Georgia,1026737
Hispanic or Latino,All Ages,Hawaii,151357
Hispanic or Latino,All Ages,Idaho,222908
Hispanic or Latino,All Ages,Illinois,2214142
Hispanic or Latino,All Ages,Indiana,475237
Hispanic or Latino,All Ages,Iowa,194432
Hispanic or Latino,All Ages,Kansas,351180
Hispanic or Latino,All Ages,Kentucky,171933
Hispanic or Latino,All Ages,Louisiana,243811
Hispanic or Latino,All Ages,Maine,22850
Hispanic or Latino,All Ages,Maryland,628433
Hispanic or Latino,All Ages,Massachusetts,847223
Hispanic or Latino,All Ages,Michigan,519022
Hispanic or Latino,All Ages,Minnesota,309283
Hispanic or Latino,All Ages,Mississippi,100168
Hispanic or Latino,All Ages,Missouri,263265
Hispanic or Latino,All Ages,Montana,42503
Hispanic or Latino,All Ages,Nebraska,215872
Hispanic or Latino,All Ages,Nevada,881148
Hispanic or Latino,All Ages,New Hampshire,52663
Hispanic or Latino,All Ages,New Jersey,1839359
Hispanic or Latino,All Ages,New Mexico,1029233
Hispanic or Latino,All Ages,New York,3754130
Hispanic or Latino,All Ages,North Carolina,997349
Hispanic or Latino,All Ages,North Dakota,29529
Hispanic or Latino,All Ages,Ohio,460877
Hispanic or Latino,All Ages,Oklahoma,429078
Hispanic or Latino,All Ages,Oregon,556396
Hispanic or Latino,All Ages,Pennsylvania,976143
Hispanic or Latino,All Ages,Rhode Island,168342
Hispanic or Latino,All Ages,South Carolina,296046
Hispanic or Latino,All Ages,South Dakota,36402
Hispanic or Latino,All Ages,Tennessee,380772
Hispanic or Latino,All Ages,Texas,11368849
Hispanic or Latino,All Ages,United States,59871746
Hispanic or Latino,All Ages,Utah,450218
Hispanic or Latino,All Ages,Vermont,12534
Hispanic or Latino,All Ages,Virginia,820874
Hispanic or Latino,All Ages,Washington,970358
Hispanic or Latino,All Ages,West Virginia,30201
Hispanic or Latino,All Ages,Wisconsin,403955
Hispanic or Latino,All Ages,Wyoming,58227
Hispanic or Latino,Under 25 years,Alabama,1433844
Hispanic or Latino,Under 25 years,Alaska,229170
Hispanic or Latino,Under 25 years,Arizona,1316088
Hispanic or Latino,Under 25 years,Arkansas,867364
Hispanic or Latino,Under 25 years,California,6233124
Hispanic or Latino,Under 25 years,Colorado,1250188
Hispanic or Latino,Under 25 years,Connecticut,830947
Hispanic or Latino,Under 25 years,Delaware,244287
Hispanic or Latino,Under 25 years,District of Columbia,172078
Hispanic or Latino,Under 25 years,Florida,4110637
Hispanic or Latino,Under 25 years,Georgia,3028071
Hispanic or Latino,Under 25 years,Hawaii,350186
Hispanic or Latino,Under 25 years,Idaho,499025
Hispanic or Latino,Under 25 years,Illinois,3064495
Hispanic or Latino,Under 25 years,Indiana,1989960
Hispanic or Latino,Under 25 years,Iowa,949271
Hispanic or Latino,Under 25 years,Kansas,824324
Hispanic or Latino,Under 25 years,Kentucky,1341419
Hispanic or Latino,Under 25 years,Louisiana,1420056
Hispanic or Latino,Under 25 years,Maine,347441
Hispanic or Latino,Under 25 years,Maryland,1594827
Hispanic or Latino,Under 25 years,Massachusetts,1699991
Hispanic or Latino,Under 25 years,Michigan,2875910
Hispanic or Latino,Under 25 years,Minnesota,1648732
Hispanic or Latino,Under 25 years,Mississippi,951920
Hispanic or Latino,Under 25 years,Missouri,1816018
Hispanic or Latino,Under 25 years,Montana,307364
Hispanic or Latino,Under 25 years,Nebraska,555692
Hispanic or Latino,Under 25 years,Nevada,554132
Hispanic or Latino,Under 25 years,New Hampshire,360768
Hispanic or Latino,Under 25 years,New Jersey,1998466
Hispanic or Latino,Under 25 years,New Mexico,274201
Hispanic or Latino,Under 25 years,New York,4458757
Hispanic or Latino,Under 25 years,North Carolina,2782864
Hispanic or Latino,Under 25 years,North Dakota,247833
Hispanic or Latino,Under 25 years,Ohio,3441422
Hispanic or Latino,Under 25 years,Oklahoma,1116442
Hispanic or Latino,Under 25 years,Oregon,973390
Hispanic or Latino,Under 25 years,Pennsylvania,3358229
Hispanic or Latino,Under 25 years,Rhode Island,241123
Hispanic or Latino,Under 25 years,South Carolina,1434656
Hispanic or Latino,Under 25 years,South Dakota,281717
Hispanic or Latino,Under 25 years,Tennessee,1928366
Hispanic or Latino,Under 25 years,Texas,5232752
Hispanic or Latino,Under 25 years,United States,25521384
Hispanic or Latino,Under 25 years,Utah,1064452
Hispanic or Latino,Under 25 years,Vermont,177630
Hispanic or Latino,Under 25 years,Virginia,2315756
Hispanic or Latino,Under 25 years,Washington,1845422
Hispanic or Latino,Under 25 years,West Virginia,507684
Hispanic or Latino,Under 25 years,Wisconsin,1625831
Hispanic or Latino,Under 25 years,Wyoming,160538
Non-Hispanic American Indian or Alaska Native, 85 years and over,Alabama,351
Non-Hispanic American Indian or Alaska Native, 85 years and over,Alaska,825
Non-Hispanic American Indian or Alaska Native, 85 years and over,Arizona,2662
Non-Hispanic American Indian or Alaska Native, 85 years and over,Arkansas,319
Non-Hispanic American Indian or Alaska Native, 85 years and over,California,2512
Non-Hispanic American Indian or Alaska Native, 85 years and over,Colorado,274
Non-Hispanic American Indian or Alaska Native, 85 years and over,Connecticut,139
Non-Hispanic American Indian or Alaska Native, 85 years and over,Delaware,89
Non-Hispanic American Indian or Alaska Native, 85 years and over,District of Columbia,43
Non-Hispanic American Indian or Alaska Native, 85 years and over,Florida,854
Non-Hispanic American Indian or Alaska Native, 85 years and over,Georgia,357
Non-Hispanic American Indian or Alaska Native, 85 years and over,Hawaii,42
Non-Hispanic American Indian or Alaska Native, 85 years and over,Idaho,206
Non-Hispanic American Indian or Alaska Native, 85 years and over,Illinois,337
Non-Hispanic American Indian or Alaska Native, 85 years and over,Indiana,230
Non-Hispanic American Indian or Alaska Native, 85 years and over,Iowa,78
Non-Hispanic American Indian or Alaska Native, 85 years and over,Kansas,129
Non-Hispanic American Indian or Alaska Native, 85 years and over,Kentucky,162
Non-Hispanic American Indian or Alaska Native, 85 years and over,Louisiana,430
Non-Hispanic American Indian or Alaska Native, 85 years and over,Maine,65
Non-Hispanic American Indian or Alaska Native, 85 years and over,Maryland,261
Non-Hispanic American Indian or Alaska Native, 85 years and over,Massachusetts,221
Non-Hispanic American Indian or Alaska Native, 85 years and over,Michigan,573
Non-Hispanic American Indian or Alaska Native, 85 years and over,Minnesota,370
Non-Hispanic American Indian or Alaska Native, 85 years and over,Mississippi,144
Non-Hispanic American Indian or Alaska Native, 85 years and over,Missouri,345
Non-Hispanic American Indian or Alaska Native, 85 years and over,Montana,409
Non-Hispanic American Indian or Alaska Native, 85 years and over,Nebraska,88
Non-Hispanic American Indian or Alaska Native, 85 years and over,Nevada,319
Non-Hispanic American Indian or Alaska Native, 85 years and over,New Hampshire,42
Non-Hispanic American Indian or Alaska Native, 85 years and over,New Jersey,317
Non-Hispanic American Indian or Alaska Native, 85 years and over,New Mexico,2057
Non-Hispanic American Indian or Alaska Native, 85 years and over,New York,1007
Non-Hispanic American Indian or Alaska Native, 85 years and over,North Carolina,1187
Non-Hispanic American Indian or Alaska Native, 85 years and over,North Dakota,183
Non-Hispanic American Indian or Alaska Native, 85 years and over,Ohio,406
Non-Hispanic American Indian or Alaska Native, 85 years and over,Oklahoma,2749
Non-Hispanic American Indian or Alaska Native, 85 years and over,Oregon,473
Non-Hispanic American Indian or Alaska Native, 85 years and over,Pennsylvania,390
Non-Hispanic American Indian or Alaska Native, 85 years and over,Rhode Island,71
Non-Hispanic American Indian or Alaska Native, 85 years and over,South Carolina,205
Non-Hispanic American Indian or Alaska Native, 85 years and over,South Dakota,384
Non-Hispanic American Indian or Alaska Native, 85 years and over,Tennessee,307
Non-Hispanic American Indian or Alaska Native, 85 years and over,Texas,1368
Non-Hispanic American Indian or Alaska Native, 85 years and over,United States,25922
Non-Hispanic American Indian or Alaska Native, 85 years and over,Utah,203
Non-Hispanic American Indian or Alaska Native, 85 years and over,Vermont,37
Non-Hispanic American Indian or Alaska Native, 85 years and over,Virginia,409
Non-Hispanic American Indian or Alaska Native, 85 years and over,Washington,754
Non-Hispanic American Indian or Alaska Native, 85 years and over,West Virginia,90
Non-Hispanic American Indian or Alaska Native, 85 years and over,Wisconsin,363
Non-Hispanic American Indian or Alaska Native, 85 years and over,Wyoming,86
Non-Hispanic American Indian or Alaska Native,25-34 years,Alabama,3683
Non-Hispanic American Indian or Alaska Native,25-34 years,Alaska,17330
Non-Hispanic American Indian or Alaska Native,25-34 years,Arizona,47523
Non-Hispanic American Indian or Alaska Native,25-34 years,Arkansas,3529
Non-Hispanic American Indian or Alaska Native,25-34 years,California,23907
Non-Hispanic American Indian or Alaska Native,25-34 years,Colorado,6657
Non-Hispanic American Indian or Alaska Native,25-34 years,Connecticut,1016
Non-Hispanic American Indian or Alaska Native,25-34 years,Delaware,338
Non-Hispanic American Indian or Alaska Native,25-34 years,District of Columbia,319
Non-Hispanic American Indian or Alaska Native,25-34 years,Florida,7361
Non-Hispanic American Indian or Alaska Native,25-34 years,Georgia,3360
Non-Hispanic American Indian or Alaska Native,25-34 years,Hawaii,609
Non-Hispanic American Indian or Alaska Native,25-34 years,Idaho,2899
Non-Hispanic American Indian or Alaska Native,25-34 years,Illinois,2799
Non-Hispanic American Indian or Alaska Native,25-34 years,Indiana,2128
Non-Hispanic American Indian or Alaska Native,25-34 years,Iowa,1471
Non-Hispanic American Indian or Alaska Native,25-34 years,Kansas,3621
Non-Hispanic American Indian or Alaska Native,25-34 years,Kentucky,1426
